requestId,locationId,serviceType,priority,status,reportedAt
38,8,Electrical,HIGH,OPEN,2026-08-04T15:32:00
39,32,Water Supply,LOW,OPEN,2026-08-04T16:10:00
40,27,Maintenance,HIGH,OPEN,2026-08-05T08:26:00
41,1,Maintenance,HIGH,OPEN,2026-08-05T09:17:00
42,20,Electrical,MEDIUM,OPEN,2026-08-05T10:01:00
43,16,Security,LOW,ASSIGNED,2026-08-05T10:56:00
44,7,Electrical,HIGH,RESOLVED,2026-08-05T12:14:00
45,20,Water Supply,MEDIUM,RESOLVED,2026-08-05T13:08:00
46,25,Waste Collection,MEDIUM,ASSIGNED,2026-08-05T13:51:00
47,50,Waste Collection,HIGH,ASSIGNED,2026-08-05T14:36:00
48,4,Waste Collection,MEDIUM,OPEN,2026-08-05T15:04:00
49,36,Maintenance,HIGH,RESOLVED,2026-08-05T16:13:00
50,10,Maintenance,HIGH,RESOLVED,2026-08-06T08:07:00
51,35,Water Supply,MEDIUM,OPEN,2026-08-06T09:25:00
52,31,Water Supply,HIGH,RESOLVED,2026-08-06T09:40:00
53,44,IT Support,HIGH,RESOLVED,2026-08-06T10:54:00
54,23,Maintenance,LOW,OPEN,2026-08-06T11:50:00
55,40,Waste Collection,HIGH,OPEN,2026-08-06T12:12:00
56,44,Water Supply,HIGH,RESOLVED,2026-08-06T13:24:00
57,49,Waste Collection,HIGH,RESOLVED,2026-08-06T14:45:00
58,21,Waste Collection,HIGH,OPEN,2026-08-06T15:11:00
59,30,Maintenance,HIGH,ASSIGNED,2026-08-06T15:51:00
60,9,Waste Collection,MEDIUM,OPEN,2026-08-06T16:49:00
61,27,IT Support,LOW,ASSIGNED,2026-08-07T08:10:00
62,5,Security,MEDIUM,RESOLVED,2026-08-07T08:46:00
63,8,Cleaning,MEDIUM,OPEN,2026-08-07T09:58:00
64,28,Electrical,HIGH,OPEN,2026-08-07T11:22:00
65,32,Water Supply,MEDIUM,ASSIGNED,2026-08-07T12:38:00
66,10,Maintenance,HIGH,OPEN,2026-08-07T13:32:00
67,36,Maintenance,LOW,OPEN,2026-08-07T14:16:00
68,36,Security,HIGH,ASSIGNED,2026-08-07T15:20:00
69,39,Water Supply,MEDIUM,RESOLVED,2026-08-07T16:08:00
70,48,Cleaning,MEDIUM,OPEN,2026-08-07T16:41:00
71,31,Security,MEDIUM,RESOLVED,2026-08-08T08:14:00
72,33,Security,MEDIUM,ASSIGNED,2026-08-08T09:18:00
73,32,Electrical,LOW,OPEN,2026-08-08T10:36:00
74,24,Electrical,MEDIUM,ASSIGNED,2026-08-08T11:30:00
75,11,Electrical,MEDIUM,RESOLVED,2026-08-08T13:00:00
76,32,IT Support,LOW,OPEN,2026-08-08T13:24:00
77,49,Plumbing,LOW,OPEN,2026-08-08T13:41:00
78,4,IT Support,MEDIUM,OPEN,2026-08-08T14:43:00
79,27,Waste Collection,HIGH,OPEN,2026-08-08T15:36:00
80,26,Cleaning,HIGH,OPEN,2026-08-08T16:56:00
81,19,Security,MEDIUM,OPEN,2026-08-09T08:04:00
82,26,Plumbing,LOW,RESOLVED,2026-08-09T08:31:00
83,21,Electrical,HIGH,RESOLVED,2026-08-09T09:46:00
84,50,IT Support,MEDIUM,OPEN,2026-08-09T10:22:00
85,17,Maintenance,MEDIUM,OPEN,2026-08-09T11:04:00
86,37,Maintenance,HIGH,ASSIGNED,2026-08-09T11:32:00
87,18,Electrical,MEDIUM,OPEN,2026-08-09T12:07:00
88,19,Water Supply,MEDIUM,RESOLVED,2026-08-09T12:57:00
89,42,IT Support,MEDIUM,RESOLVED,2026-08-09T14:11:00
90,22,Waste Collection,HIGH,OPEN,2026-08-09T15:35:00
91,47,Maintenance,HIGH,ASSIGNED,2026-08-09T16:57:00
92,38,Water Supply,MEDIUM,ASSIGNED,2026-08-10T08:30:00
93,44,Water Supply,MEDIUM,ASSIGNED,2026-08-10T09:55:00
94,2,Maintenance,HIGH,ASSIGNED,2026-08-10T11:00:00
95,19,Waste Collection,HIGH,ASSIGNED,2026-08-10T11:35:00
96,29,Electrical,MEDIUM,ASSIGNED,2026-08-10T12:19:00
97,9,Plumbing,HIGH,OPEN,2026-08-10T13:09:00
98,45,Cleaning,HIGH,OPEN,2026-08-10T13:29:00
99,30,Cleaning,MEDIUM,RESOLVED,2026-08-10T14:43:00
100,41,Waste Collection,LOW,RESOLVED,2026-08-10T15:19:00
101,5,IT Support,MEDIUM,OPEN,2026-08-10T16:10:00
102,24,Plumbing,LOW,OPEN,2026-08-10T16:57:00
103,37,Cleaning,HIGH,OPEN,2026-08-11T08:09:00
104,36,Water Supply,HIGH,OPEN,2026-08-11T08:30:00
105,49,Waste Collection,MEDIUM,OPEN,2026-08-11T08:49:00
106,37,Electrical,HIGH,OPEN,2026-08-11T10:15:00
107,6,Cleaning,HIGH,RESOLVED,2026-08-11T11:11:00
108,25,Plumbing,HIGH,RESOLVED,2026-08-11T12:13:00
109,40,Maintenance,LOW,RESOLVED,2026-08-11T13:37:00
110,32,Electrical,MEDIUM,RESOLVED,2026-08-11T14:21:00
111,37,Maintenance,LOW,ASSIGNED,2026-08-11T15:20:00
112,39,Electrical,MEDIUM,OPEN,2026-08-11T16:33:00
113,10,Cleaning,MEDIUM,OPEN,2026-08-12T08:11:00
114,6,Plumbing,MEDIUM,ASSIGNED,2026-08-12T09:03:00
115,43,Waste Collection,MEDIUM,OPEN,2026-08-12T10:29:00
116,4,Security,MEDIUM,RESOLVED,2026-08-12T11:15:00
117,8,Water Supply,HIGH,RESOLVED,2026-08-12T12:15:00
118,38,Electrical,MEDIUM,OPEN,2026-08-12T13:03:00
119,43,Plumbing,MEDIUM,OPEN,2026-08-12T14:24:00
120,46,IT Support,HIGH,OPEN,2026-08-12T14:50:00
121,45,Waste Collection,MEDIUM,RESOLVED,2026-08-12T15:37:00
122,35,Security,LOW,ASSIGNED,2026-08-12T16:22:00
123,36,Water Supply,MEDIUM,RESOLVED,2026-08-12T16:41:00
124,34,Plumbing,LOW,ASSIGNED,2026-08-13T08:10:00
125,39,Plumbing,HIGH,RESOLVED,2026-08-13T09:20:00
126,38,Maintenance,MEDIUM,RESOLVED,2026-08-13T10:47:00
127,14,Water Supply,LOW,OPEN,2026-08-13T12:08:00
128,42,Plumbing,LOW,OPEN,2026-08-13T13:14:00
129,1,Waste Collection,HIGH,ASSIGNED,2026-08-13T13:39:00
130,39,Plumbing,HIGH,OPEN,2026-08-13T14:54:00
131,28,IT Support,MEDIUM,RESOLVED,2026-08-13T15:22:00
132,39,Maintenance,HIGH,OPEN,2026-08-13T16:01:00
133,25,Cleaning,MEDIUM,ASSIGNED,2026-08-14T08:21:00
134,18,Security,MEDIUM,OPEN,2026-08-14T09:06:00
135,28,IT Support,MEDIUM,RESOLVED,2026-08-14T10:26:00
136,18,Plumbing,LOW,RESOLVED,2026-08-14T11:22:00
137,37,Cleaning,LOW,OPEN,2026-08-14T12:42:00
138,47,Security,MEDIUM,OPEN,2026-08-14T13:22:00
139,48,Plumbing,MEDIUM,ASSIGNED,2026-08-14T14:31:00
140,42,Security,MEDIUM,RESOLVED,2026-08-14T15:57:00
141,33,Plumbing,HIGH,OPEN,2026-08-14T16:16:00
142,45,Water Supply,MEDIUM,RESOLVED,2026-08-14T16:54:00
143,47,Plumbing,MEDIUM,OPEN,2026-08-15T08:10:00
144,2,Electrical,MEDIUM,RESOLVED,2026-08-15T08:25:00
145,4,IT Support,MEDIUM,RESOLVED,2026-08-15T09:18:00
146,19,Water Supply,HIGH,OPEN,2026-08-15T10:04:00
147,2,Waste Collection,MEDIUM,RESOLVED,2026-08-15T10:50:00
148,42,Plumbing,LOW,RESOLVED,2026-08-15T11:39:00
149,25,Security,LOW,ASSIGNED,2026-08-15T12:11:00
150,23,Water Supply,LOW,OPEN,2026-08-15T13:10:00
151,46,Plumbing,LOW,ASSIGNED,2026-08-15T14:01:00
152,46,Plumbing,MEDIUM,ASSIGNED,2026-08-15T14:48:00
153,35,Maintenance,HIGH,OPEN,2026-08-15T15:26:00
154,14,IT Support,LOW,ASSIGNED,2026-08-15T15:47:00
155,29,Maintenance,HIGH,RESOLVED,2026-08-15T16:03:00
156,23,Waste Collection,LOW,OPEN,2026-08-16T08:28:00
157,25,Security,MEDIUM,ASSIGNED,2026-08-16T09:20:00
158,38,Water Supply,MEDIUM,RESOLVED,2026-08-16T10:12:00
159,39,Security,LOW,ASSIGNED,2026-08-16T10:57:00
160,40,Water Supply,HIGH,RESOLVED,2026-08-16T12:00:00
161,18,Cleaning,HIGH,ASSIGNED,2026-08-16T12:21:00
162,32,Water Supply,MEDIUM,OPEN,2026-08-16T13:20:00
163,48,Plumbing,MEDIUM,ASSIGNED,2026-08-16T13:51:00
164,16,IT Support,MEDIUM,ASSIGNED,2026-08-16T15:21:00
165,38,Plumbing,HIGH,ASSIGNED,2026-08-16T16:26:00
166,42,Maintenance,LOW,RESOLVED,2026-08-17T08:29:00
167,33,Electrical,HIGH,OPEN,2026-08-17T09:07:00
168,29,Electrical,MEDIUM,RESOLVED,2026-08-17T09:51:00
169,3,Cleaning,MEDIUM,ASSIGNED,2026-08-17T10:36:00
170,12,Cleaning,MEDIUM,RESOLVED,2026-08-17T11:08:00
171,31,Security,MEDIUM,ASSIGNED,2026-08-17T11:55:00
172,2,Plumbing,HIGH,OPEN,2026-08-17T13:19:00
173,41,Maintenance,MEDIUM,RESOLVED,2026-08-17T14:37:00
174,25,IT Support,MEDIUM,ASSIGNED,2026-08-17T15:12:00
175,6,Security,HIGH,RESOLVED,2026-08-17T15:49:00
176,4,Waste Collection,MEDIUM,RESOLVED,2026-08-17T16:22:00
177,14,Waste Collection,MEDIUM,RESOLVED,2026-08-18T08:05:00
178,25,Cleaning,MEDIUM,RESOLVED,2026-08-18T08:29:00
179,35,Cleaning,HIGH,OPEN,2026-08-18T09:40:00
180,11,Water Supply,MEDIUM,OPEN,2026-08-18T10:20:00
181,49,Waste Collection,LOW,RESOLVED,2026-08-18T10:52:00
182,47,Water Supply,LOW,RESOLVED,2026-08-18T11:39:00
183,27,Maintenance,LOW,OPEN,2026-08-18T13:04:00
184,23,IT Support,LOW,OPEN,2026-08-18T13:25:00
185,27,Cleaning,MEDIUM,OPEN,2026-08-18T13:40:00
186,12,Plumbing,LOW,OPEN,2026-08-18T14:02:00
187,22,Waste Collection,HIGH,OPEN,2026-08-18T14:58:00
188,18,Maintenance,MEDIUM,RESOLVED,2026-08-18T15:13:00
189,39,Plumbing,MEDIUM,RESOLVED,2026-08-18T16:29:00
190,46,Waste Collection,HIGH,OPEN,2026-08-19T08:03:00
191,15,Electrical,MEDIUM,RESOLVED,2026-08-19T08:29:00
192,43,Water Supply,MEDIUM,OPEN,2026-08-19T09:42:00
193,30,Plumbing,LOW,OPEN,2026-08-19T10:23:00
194,10,Maintenance,HIGH,OPEN,2026-08-19T11:47:00
195,2,IT Support,HIGH,OPEN,2026-08-19T12:58:00
196,33,Security,LOW,OPEN,2026-08-19T14:23:00
197,16,Cleaning,HIGH,OPEN,2026-08-19T14:51:00
198,2,IT Support,MEDIUM,ASSIGNED,2026-08-19T15:10:00
199,13,Electrical,LOW,OPEN,2026-08-19T16:26:00
200,44,Cleaning,MEDIUM,OPEN,2026-08-19T16:41:00
201,27,Security,LOW,OPEN,2026-08-20T08:05:00
202,24,Security,HIGH,ASSIGNED,2026-08-20T09:11:00
203,33,Waste Collection,HIGH,RESOLVED,2026-08-20T10:05:00
204,33,IT Support,HIGH,ASSIGNED,2026-08-20T11:10:00
205,2,Maintenance,HIGH,ASSIGNED,2026-08-20T12:28:00
206,31,Plumbing,LOW,OPEN,2026-08-20T12:45:00
207,16,IT Support,MEDIUM,OPEN,2026-08-20T13:17:00
208,25,Maintenance,MEDIUM,ASSIGNED,2026-08-20T14:26:00
209,21,Plumbing,HIGH,OPEN,2026-08-20T15:47:00
210,44,Cleaning,HIGH,RESOLVED,2026-08-20T16:32:00
211,7,Security,MEDIUM,OPEN,2026-08-21T08:05:00
212,32,Waste Collection,MEDIUM,RESOLVED,2026-08-21T09:01:00
213,13,Maintenance,HIGH,OPEN,2026-08-21T10:06:00
214,2,Plumbing,MEDIUM,OPEN,2026-08-21T11:26:00
215,47,Security,HIGH,RESOLVED,2026-08-21T11:43:00
216,19,Electrical,HIGH,OPEN,2026-08-21T12:20:00
217,32,Waste Collection,HIGH,ASSIGNED,2026-08-21T12:55:00
218,31,Waste Collection,HIGH,OPEN,2026-08-21T13:35:00
219,23,Maintenance,HIGH,ASSIGNED,2026-08-21T14:37:00
220,44,Water Supply,HIGH,ASSIGNED,2026-08-21T15:31:00
221,37,Electrical,MEDIUM,OPEN,2026-08-21T16:58:00
222,37,Maintenance,LOW,RESOLVED,2026-08-22T08:13:00
223,41,Maintenance,HIGH,RESOLVED,2026-08-22T09:37:00
224,9,Waste Collection,MEDIUM,ASSIGNED,2026-08-22T11:03:00
225,31,Electrical,MEDIUM,OPEN,2026-08-22T12:33:00
226,44,Water Supply,HIGH,ASSIGNED,2026-08-22T13:48:00
227,48,Waste Collection,HIGH,ASSIGNED,2026-08-22T14:21:00
228,27,IT Support,LOW,OPEN,2026-08-22T15:29:00
229,20,Cleaning,LOW,ASSIGNED,2026-08-22T15:49:00
230,47,Cleaning,MEDIUM,RESOLVED,2026-08-23T08:08:00
231,8,Plumbing,MEDIUM,OPEN,2026-08-23T09:12:00
232,22,Plumbing,LOW,ASSIGNED,2026-08-23T09:50:00
233,15,Waste Collection,MEDIUM,ASSIGNED,2026-08-23T10:41:00
234,5,Cleaning,MEDIUM,OPEN,2026-08-23T11:18:00
235,22,Security,HIGH,OPEN,2026-08-23T11:47:00
236,29,Water Supply,LOW,ASSIGNED,2026-08-23T12:08:00
237,29,Water Supply,MEDIUM,OPEN,2026-08-23T13:01:00
238,32,Cleaning,MEDIUM,ASSIGNED,2026-08-23T14:20:00
239,31,Security,HIGH,ASSIGNED,2026-08-23T15:17:00
240,50,Maintenance,MEDIUM,ASSIGNED,2026-08-23T15:57:00
241,43,Security,MEDIUM,RESOLVED,2026-08-23T16:15:00
242,8,Maintenance,LOW,RESOLVED,2026-08-24T08:05:00
243,41,Water Supply,LOW,RESOLVED,2026-08-24T08:30:00
244,31,Waste Collection,HIGH,OPEN,2026-08-24T09:20:00
245,18,Security,HIGH,OPEN,2026-08-24T10:00:00
246,47,Security,HIGH,OPEN,2026-08-24T11:25:00
247,26,Plumbing,HIGH,OPEN,2026-08-24T11:40:00
248,43,Electrical,MEDIUM,ASSIGNED,2026-08-24T12:50:00
249,6,Waste Collection,HIGH,OPEN,2026-08-24T13:37:00
250,30,Waste Collection,HIGH,OPEN,2026-08-24T14:36:00
251,33,Maintenance,MEDIUM,OPEN,2026-08-24T15:27:00
252,47,Water Supply,HIGH,ASSIGNED,2026-08-24T15:53:00
253,15,Waste Collection,MEDIUM,ASSIGNED,2026-08-24T16:34:00
254,39,Water Supply,MEDIUM,ASSIGNED,2026-08-25T08:13:00
255,12,Electrical,MEDIUM,RESOLVED,2026-08-25T09:12:00
256,25,Maintenance,MEDIUM,OPEN,2026-08-25T10:40:00
257,44,Plumbing,HIGH,RESOLVED,2026-08-25T11:19:00
258,19,IT Support,LOW,RESOLVED,2026-08-25T12:49:00
259,19,IT Support,MEDIUM,RESOLVED,2026-08-25T14:06:00
260,12,Electrical,MEDIUM,RESOLVED,2026-08-25T14:55:00
261,25,Water Supply,HIGH,RESOLVED,2026-08-25T15:48:00
262,10,Electrical,LOW,ASSIGNED,2026-08-25T16:59:00
263,36,Electrical,HIGH,OPEN,2026-08-26T08:19:00
264,25,Waste Collection,MEDIUM,ASSIGNED,2026-08-26T09:44:00
265,33,Cleaning,LOW,OPEN,2026-08-26T10:49:00
266,30,Plumbing,MEDIUM,OPEN,2026-08-26T11:39:00
267,29,Maintenance,HIGH,ASSIGNED,2026-08-26T12:30:00
268,47,Maintenance,MEDIUM,OPEN,2026-08-26T13:07:00
269,4,Maintenance,HIGH,ASSIGNED,2026-08-26T13:27:00
270,44,Waste Collection,MEDIUM,OPEN,2026-08-26T14:13:00
271,46,Plumbing,HIGH,OPEN,2026-08-26T15:42:00
272,19,Cleaning,LOW,OPEN,2026-08-27T08:27:00
273,22,IT Support,LOW,OPEN,2026-08-27T09:41:00
274,26,Water Supply,MEDIUM,RESOLVED,2026-08-27T10:40:00
275,43,IT Support,HIGH,ASSIGNED,2026-08-27T11:04:00
276,20,Electrical,MEDIUM,OPEN,2026-08-27T12:24:00
277,11,Plumbing,MEDIUM,OPEN,2026-08-27T13:44:00
278,44,Maintenance,LOW,ASSIGNED,2026-08-27T14:29:00
279,40,Cleaning,MEDIUM,ASSIGNED,2026-08-27T15:59:00
280,1,Plumbing,HIGH,RESOLVED,2026-08-27T16:37:00
281,2,Cleaning,MEDIUM,OPEN,2026-08-28T08:13:00
282,42,Security,MEDIUM,OPEN,2026-08-28T09:21:00
283,29,Plumbing,LOW,OPEN,2026-08-28T10:45:00
284,50,Security,HIGH,OPEN,2026-08-28T11:09:00
285,20,Maintenance,LOW,OPEN,2026-08-28T12:02:00
286,47,Maintenance,LOW,OPEN,2026-08-28T12:28:00
287,42,Water Supply,HIGH,RESOLVED,2026-08-28T13:32:00
288,35,Waste Collection,HIGH,ASSIGNED,2026-08-28T14:59:00
289,5,Waste Collection,HIGH,ASSIGNED,2026-08-28T16:00:00
290,4,Electrical,HIGH,ASSIGNED,2026-08-28T16:17:00
291,11,Waste Collection,LOW,RESOLVED,2026-08-28T16:38:00
292,32,Cleaning,HIGH,OPEN,2026-08-29T08:28:00
293,33,Security,HIGH,OPEN,2026-08-29T09:55:00
294,41,Water Supply,MEDIUM,RESOLVED,2026-08-29T11:11:00
295,31,Waste Collection,LOW,RESOLVED,2026-08-29T11:52:00
296,43,Waste Collection,MEDIUM,ASSIGNED,2026-08-29T12:51:00
297,6,Plumbing,MEDIUM,RESOLVED,2026-08-29T13:29:00
298,43,Electrical,MEDIUM,RESOLVED,2026-08-29T14:10:00
299,46,Water Supply,MEDIUM,RESOLVED,2026-08-29T14:38:00
300,32,Cleaning,HIGH,RESOLVED,2026-08-29T15:11:00
